Open,High,Low,Close,Adj Close,Volume
1196.713623046875,1203.475341796875,1192.8853759765625,1200.96484375,1200.96484375,2399674550
1201.103271484375,1219.860595703125,1195.2149658203125,1214.6566162109375,1214.6566162109375,3765758498
1214.7440185546875,1219.0953369140625,1207.4915771484375,1214.77880859375,1214.77880859375,3392972131
1214.7186279296875,1264.8074951171875,1213.1688232421875,1256.526611328125,1256.526611328125,6404416893
1256.484619140625,1258.571533203125,1245.173095703125,1250.4385986328125,1250.4385986328125,4001786456
1250.458984375,1273.2203369140625,1240.947509765625,1269.3790283203125,1269.3790283203125,4977252792
1269.4197998046875,1270.5982666015625,1262.2711181640625,1264.2703857421875,1264.2703857421875,2565213548
1264.181884765625,1287.3594970703125,1260.226806640625,1287.3594970703125,1287.3594970703125,3495088905
1287.4508056640625,1342.1441650390625,1286.6807861328125,1321.5389404296875,1321.5389404296875,7990438824
1321.3955078125,1342.7572021484375,1318.5272216796875,1336.5860595703125,1336.5860595703125,5830173253
1336.48681640625,1387.9327392578125,1323.5831298828125,1387.9327392578125,1387.9327392578125,6314904311
1405.3514404296875,1432.28125,1378.422119140625,1417.9384765625,1417.9384765625,12230193038
1417.9461669921875,1461.6727294921875,1404.02392578125,1451.6148681640625,1451.6148681640625,7684148212
1451.428466796875,1563.7391357421875,1450.9884033203125,1550.7069091796875,1550.7069091796875,15444626014
1550.7315673828125,1556.9508056640625,1520.893798828125,1552.4794921875,1552.4794921875,6774614499
1552.519287109375,1594.039794921875,1529.5736083984375,1576.83349609375,1576.83349609375,8454485431
1577.107421875,1594.0009765625,1553.3359375,1567.8460693359375,1567.8460693359375,7599462786
1567.698974609375,1602.106689453125,1509.4228515625,1515.5069580078125,1515.5069580078125,10354880595
1515.2496337890625,1557.9703369140625,1514.3800048828125,1552.5565185546875,1552.5565185546875,6432638856
1552.3736572265625,1659.8857421875,1544.9178466796875,1659.754150390625,1659.754150390625,8528894754
1659.7060546875,1674.1793212890625,1626.81298828125,1627.1181640625,1627.1181640625,8859250310
1627.365966796875,1658.0234375,1612.085693359375,1628.382080078125,1628.382080078125,7517988734
1628.55078125,1641.2181396484375,1607.903076171875,1628.2510986328125,1628.2510986328125,8264507375
1627.8482666015625,1639.723876953125,1551.3897705078125,1556.604248046875,1556.604248046875,8180274691
1556.8074951171875,1632.24169921875,1530.7978515625,1611.7110595703125,1611.7110595703125,10598973448
